"date","value"
2020-03-13 08:00:00,5.8
2020-03-13 09:00:00,6.7
2020-03-13 10:00:00,7.5
2020-03-13 11:00:00,8.0
2020-03-13 12:00:00,8.7
2020-03-14 00:00:00,5.7
2020-03-14 01:00:00,5.2
2020-03-14 02:00:00,5.5
2020-03-14 03:00:00,5.6
2020-03-14 04:00:00,5.7
2020-03-14 05:00:00,5.6
2020-03-14 06:00:00,5.7
2020-03-14 07:00:00,5.9
2020-03-14 08:00:00,6.7
2020-03-14 09:00:00,7.6
2020-03-14 10:00:00,7.8
2020-03-14 11:00:00,8.9
2020-03-14 12:00:00,10.0
2020-03-15 00:00:00,8.0
2020-03-15 01:00:00,8.0
2020-03-15 02:00:00,8.0
2020-03-15 03:00:00,7.9
2020-03-15 04:00:00,7.9
2020-03-15 05:00:00,7.9
2020-03-15 06:00:00,7.8
2020-03-15 07:00:00,7.2
2020-03-15 08:00:00,7.3
2020-03-15 09:00:00,7.6
2020-03-15 10:00:00,7.7
2020-03-15 11:00:00,8.3
2020-03-15 12:00:00,8.3
2020-03-16 00:00:00,6.4
2020-03-16 01:00:00,5.2
2020-03-16 02:00:00,4.7
2020-03-16 03:00:00,4.1
2020-03-16 04:00:00,3.6
2020-03-16 05:00:00,3.3
2020-03-16 06:00:00,3.1
2020-03-16 07:00:00,2.8
2020-03-16 08:00:00,3.7
2020-03-16 09:00:00,4.9
2020-03-16 10:00:00,6.1
2020-03-16 11:00:00,6.6
2020-03-16 12:00:00,7.1
2020-03-17 00:00:00,3.7
2020-03-17 01:00:00,3.0
2020-03-17 02:00:00,2.9
2020-03-17 03:00:00,3.1
2020-03-17 04:00:00,3.4
2020-03-17 05:00:00,3.8
2020-03-17 06:00:00,4.0
2020-03-17 07:00:00,4.3
2020-03-17 08:00:00,5.9
2020-03-17 09:00:00,7.7
2020-03-17 10:00:00,9.0
2020-03-17 11:00:00,10.1
2020-03-17 12:00:00,10.7
2020-03-18 00:00:00,8.1
2020-03-18 01:00:00,8.1
2020-03-18 02:00:00,8.1
2020-03-18 03:00:00,8.3
2020-03-18 04:00:00,8.3
2020-03-18 05:00:00,8.4
2020-03-18 06:00:00,8.4
2020-03-18 07:00:00,8.7
2020-03-18 08:00:00,8.7
2020-03-18 09:00:00,9.0
2020-03-18 10:00:00,9.4
2020-03-18 11:00:00,9.7
2020-03-18 12:00:00,10.3
2020-03-19 00:00:00,8.7
2020-03-19 01:00:00,8.5
2020-03-19 02:00:00,8.4
2020-03-19 03:00:00,7.5
2020-03-19 04:00:00,7.0
2020-03-19 05:00:00,6.4
2020-03-19 06:00:00,6.1
2020-03-19 07:00:00,6.0
2020-03-19 08:00:00,5.9
2020-03-19 09:00:00,6.0
2020-03-19 10:00:00,6.3
2020-03-19 11:00:00,6.5
2020-03-19 12:00:00,6.6
2020-03-20 00:00:00,5.5
2020-03-20 01:00:00,5.1
2020-03-20 02:00:00,5.0
2020-03-20 03:00:00,4.8
2020-03-20 04:00:00,4.8
2020-03-20 05:00:00,4.6
2020-03-20 06:00:00,4.6
2020-03-20 07:00:00,4.7
2020-03-20 08:00:00,5.0
2020-03-20 09:00:00,5.5
2020-03-20 10:00:00,6.1
2020-03-20 11:00:00,6.5
2020-03-20 12:00:00,6.7
2020-03-21 00:00:00,4.1
2020-03-21 01:00:00,4.4
2020-03-21 02:00:00,4.2
2020-03-21 03:00:00,4.2
